Code,Consultant Name
80,Ian J Bayley
385,Maurice Atkins
628,Hedley Berry
1012,Roger Bucknall
1285, Margaret Ghilchik
1336,Geoffrey Clarke
1405,Simon Cohen
1427,Richard Collin
1432,John Collins
1476,Martin Cook
1506,David Taube
1576,Neil R Poulter
2000,John Eddy
2097,David H Enderby
2226,Jayne Gallagher
2349,Andrew Markey
2731,Michael Grayson
2936,Michael Hardingham
3262,Michael Hopkins
3387,Edward Huskisson
4002,Gerald Libby
4240,Graham A MacGregor
4693,Nicholas Moore
5277,Angela Rouncefield
5567,Francis Pope
5926,Michael Sharr
6042,David Skidmore
6826,Richard Penrose
7107,Gordon Williams
7233,David Wood
7267,Alexander Wright
7889,Gerald Woolfson
7953,Geoffrey Leader
7954,Karol Rogawski
8086,John Gordon Payne
8102,Lynda Gail Darlington
8138,Michael J Radcliffe
8209,Jeannette Josse
8230,Anthony Du Vivier
8530,Richard Best
8603,Pamela W Ewan
8605,Norman S B Tanner
8665,Rudy Capildeo
8829,Michael Bott
8894,Brian C Sommerlad
9111,Gavin Browning
9205,Alan B Houston
9246,George Hamilton
9290,Jonathan Chick
9297,Thomas Akintewe
9305,Professor Desmond G Johnston
9306,Professor Ian E Smith
9446,Professor Gordon J Turnbull
9468,Professor Agamemmon Epenetos
9512,Dr Howard Waring
9516,Dr Norman Macaskill
9523,Mr William McKerrow
9545,Mr Timothy Allen-Mersh
9565,Dr Donald Gibb
9581,Mr Guy Kenyon
9598,Dr David Dick
9656,Dr Joseph M Cowan
9706,Dr Alan Rae
9713,Mr Philip Robarts
9732,Dr Diana Tait
9740,Professor William Chambers
9743,Professor David Reid
9789,Mr Thomas Holme
9826,Dr Ronald Alasdair Stuart Blackie
9939,Dr John Costello
10070,Dr James P H Byrne
10121,Dr Lynn Johnston
10126,Mr Trevor Buchanan
10165,Dr Graham Crothers
10215,Dr Frances Lawlor
10231,Dr Sandra Minor
10241,Dr Janet M McComb
10311,Mr Richard Condon
10344,Dr Thomas Trinick
10351,Dr Hok J Wong
10377,Dr Walter Melia
10387,Mr Patrick Keane
10393,Professor Wallace Dinsmore
10399,Dr Paul T Jackson
10404,Dr Clifford McMillan
10409,Dr James C Stanley
10427,Mr John O'Hara
10479,Dr Muhammad Akhtar
10579,Dr Adrian J Williams
10600,Mr Anthony Silverstone
10698,Mr Martin Knight
10753,Dr David Marshall
10832,Dr David E McDonald
10946,Mr Richard Markham
10979,Dr Peter Harper
10981,Mr Gavin Royle
11053,Dr Peter Coburn
11069,Dr Ian B Chait
11138,Mr Anthony M Mander
11139,Dr Alfred White
11161,Dr Carmel Coulter
11278,Dr Antony Garelick
11301,Dr Richard Trompeter
11304,Dr Woodruff Walker
11408,Dr James P Virjee
11444,Dr John P D Keet
11483,Dr M L Rigby
11484,Professor Brian Gazzard
11504,Dr Alan Anderson
11525,Professor John G Williams
11582,Dr David T Williams
11608,Dr Christopher Payne
11632,Mr Joseph Pooley
11692,Dr Geoffrey Lloyd
11696,Dr John O'Connell
11786,Professor Richard Powell
11792,Professor Anthony Mundy
11802,Mr Roger Leicester
11813,Professor Robert Leonard
11850,Professor John Wass
11858,Professor Gordon Rustin
11900,Mr David Oram
11953,Dr Mark G Glaser
12073,Professor John R Pepper
12131,Dr Cameron Kennedy
12139,Professor Roderick Hay
12140,Professor Jeffrey Tobias
12146,Miss Sarah Muirhead-Allwood
12152,Professor Charles Davis
12157,Professor Abdul Gatrad
12170,Professor Geoffrey Sandle
12202,Dr Andrew Margo
12209,Dr Anne Child
12213,Dr Rene Tayar
12254,Mr Clive Peckar
12274,Dr Douglas King
12276,Dr Stephen Harland
12282,Dr Laurence Solomon
12320,Dr Philip Lewis
12335,Dr Robin Russell-Jones
12360,Dr Charles Pusey
12368,Dr Raul Pereira
12370,Dr Edward K Sikora
12386,Dr Andrew Fairfax
12392,Dr Shashi Rawal
12397,Dr Brian Bourke
12469,Professor Richard D Leslie
12559,Dr Jacqueline Filshie
12641,Dr Daniel Baron
12703,Dr Peter Cleland
12733,Mr Julian Shah
12800,Mr Michael Lewis
12801,Professor Jeremy Fairbank
12861,Dr Duncan Dymond
12885,Mr Paninchukunnath Shridhar
12921,Professor Pauline Dowd
13033,Mr John Scurr
13062,Professor John Stevenson
13069,Dr Mutuwa De Silva
13087,Mr Bhupendra Sarmah
13193,Dr Ralph Abraham
13227,Dr Charles Ilsley
13235,Dr William Konarzewski
13245,Dr William McAllister
13249,Dr Thomas Staunton
13270,Professor Christopher Hawkes
13307,Dr Surajchand Jain
13323,Mr Partha Chaudhuri
13346,Mr Myrddin Rees
13458,Dr Mary Crofton
13521,Mr Kambiz Hashemi
13538,Dr Grant Benfield
13575,Dr David A White
13622,Dr Louis Loizou
13624,Dr David Spooner
13654,Dr David J Atherton
13685,Mr Roger Springall
13719,Mr Maxwell McCormick
13729,Professor Simon Shorvon
13747,Dr Robert Michael Bernstein
13756,Professor David H Skuse
13789,Dr Christopher Allen
13806,Dr Peter Studdy
13807,Professor Sir John Cunningham
13809,Dr Deborah A Cunningham
13815,Dr John G Farrimond
13833,Dr Jonathan Pitts Crick
13835,Dr Michael Harris
13854,Professor Raymond Powles
13900,Professor Adam Timmis
13925,Dr Mehernoosh Irani
13933,Mr Pralhad Kolhe
13939,Dr Brian A Gould
13975,Mr John Elston
13976,Professor David Isenberg
14023,Professor Geoffrey I Hackett
14033,Dr Klaus Misch
14038,Dr Hilary Fawcett
14041,Mr Daniel Archer
14139,Miss Shanti Raju-Kankipati
14150,Dr Edward Rowland
14195,Mr Ian G Mackie
14196,Mr Derek Scrimgeour
14198,Dr Trevor Wheatley
14224,Mr Barry Jones
14241,Professor Sir Robin Murray
14249,Dr John Goldstone
14260,Professor Tony Wright
14271,Dr Clare Higgens
14326,Dr Caroline Marfleet
14345,Dr Rodney Foale
14353,Mr John Hobbiss
14381,Dr Ian James
14410,Mr Gerald Brookes
14427,Mr Brian Levack
14471,Dr Michael Hetreed
14479,Dr Joseph Silas
14522,Dr Saroj Cheema
14525,Dr Nick Plowman
14549,Mr Geoffrey Hutchinson
14571,Dr Raymond Armstrong
14580,Mr John Meyrick-Thomas
14662,Dr Richard M Blaquiere
14672,Mr Philip Toon
14695,Dr Jonathan Bodansky
14705,Professor Linda Cardozo
14724,Dr Michael Boscoe
14799,Professor Brian Davidson
14803,Dr Trevor Cleveland
14804,Dr Jennifer Davies
14814,Professor Kian Chung
14818,Mr Peter McDonald
14824,Mr Miles Dickson
14827,Dr Anthony R Divers
14833,Dr Anthony Nathan
14899,Mr Jonathan Gilbert
14917,Professor Sudipta Purkayastha
14928,Dr Robert Greenbaum
14932,Dr Stuart Cairns
14933,Mr Ronald Miller
14934,Professor Bruce Campbell
14970,Dr Hannah Cohen
14975,Dr Kenneth G A MacLeod
14994,Dr Andrew Borthwick-Clarke
15048,Dr Peter T Sweet
15058,Dr Graham Colver
15090,Dr Surendra K Upadhyay
15091,Mr Paul Baskerville
15101,Professor Shernaz Walton
15127,Mr Stuart Smith
15184,Dr Richard Hull
15205,Dr Austen Moore
15206,Dr Rex Dawson
15218,Dr Jillian Pritchard
15220,Professor Owen Epstein
15264,Mr Roy Isworth
15272,Dr Bandula Jayaratne
15279,Dr John M Walker
15280,Dr Timothy Kingston
15287,Dr David Ramsdale
15330,Dr Michael Apps
15342,Dr Robin Jacobson
15348,Dr Radha Bhat
15363,Professor John Deanfield
15365,Dr Carl S Waldmann
15371,Dr Julian R Walters
15384,Professor Ashley Woodcock
15386,Mr Jonathan Ausobsky
15389,Dr Donald A Batten
15393,Dr Susan Adams
15401,Dr Anne Cremona
15406,Professor John Hollingdale
15442,Dr Eric G Lever
15456,Mr David Almond
15458,Professor Barry Monk
15460,Mr John Webb
15500,Dr Malcolm G Prentice
15509,Professor Angus Dalgleish
15521,Dr Stuart Webb
15534,Mr Glyn Evans
15557,Dr Andrew Ilchyshyn
15571,Dr Stuart Crawford
15577,Dr Cecil Bernard Colaco
15592,Dr Robert Bowes
15610,Dr L S P Wicks
15614,Dr Richard Morgan
15628,Mr Graham Watson
15635,Dr Michael Anderson
15684,Dr Packeerrowther T Saleem
15685,Mr Sheo Tibrewal
15698,Dr Stephen Rose
15706,Dr Mark Turtle
15715,Dr Gedis Grudzinskas
15716,Professor Nihal Gurusinghe
15723,Professor Peter Mortimer
15735,Mr Francis Wells
15743,Dr Jack D Singer
15801,Professor Margaret Johnson
15812,Dr John Timmis
15819,Professor Ashley Grossman
15821,Professor Jonathan Waxman
15836,Professor David Cranston
15862,Dr Zoser Boulis
15879,Mr Dennis Choa
15883,Dr Thomas Bozek
15890,Dr Murugiah Seevaratnam
15892,Dr Christopher Kelsey
15899,Dr David Coates
15900,Dr Robert Cohen
15901,Dr Patrick Creagh-Barry
15917,Dr Nicholas S Reed
15923,Dr Ian R White
15935,Dr Roland Ede
15937,Dr Peter Savundra
15971,Dr Vas Novelli
15973,Mr Jaspal Virdi
15977,Mr John Dooley
15993,Dr Frank McKenna
15995,Mr Khalid Drabu
16002,Professor Arthur Sun Myint
16023,Dr Colin Pease
16070,Dr Stephen Hyer
16078,Mr John Beare
16095,Dr Nicholas Groves
16097,Dr Tawfique Daneshmend
16115,Mr Nikhil Sarangi
16139,Dr Paul M Bailey
16169,Professor Christopher Raine MBE
16179,Dr Derrick A Sagar
16235,Dr Oliver Duke
16237,Dr William Culling
16248,Dr Roland J Guy
16254,Dr Adeniyi Molajo
16263,Dr Leonard M Shapiro
16270,Dr John Moore-Gillon
16274,Dr David Moore
16275,Dr Martin Gould
16279,Dr Alistair P Thomson
16283,Dr Margaret Hourihan
16295,Mr Graeme Nicholas Fernandez
16303,Dr Michael Gross
16319,Professor John Mayberry
16321,Mr John Dickinson
16335,Dr Janis Shaw
16337,Mr Geoffrey Wilson
16354,Dr John O'Reilly
16375,Dr Colin Ainley
16379,Professor David Dunaway
16392,Dr John B O'Driscoll
16435,Mr Stephen R Large
16451,Dr Sonny K Chong
16466,Dr Andrew Macaulay
16478,Dr Nirendra Jena
16489,Mr Terence Mugliston
16517,Mr David Gault
16519,Dr Dermot McKeown
16528,Dr Patricia Podmore
16529,Professor John N Primrose
16530,Mr Douglas McWhinnie
16541,Dr R Peter Alston
16550,Professor Peter Turnpenny
16604,Dr Heather Deans
16611,Mr Richard Bickerton
16625,Dr Anne Blyth
16627,Mr Robin Strachan
16661,Mr Michael A Walker
16680,Professor David Cunningham OBE
16704,Dr Alan Forster
16708,Dr Iain Findlay
16724,Dr Robin Northcote
16728,Mr Derek Veitch
16739,Dr Thomas P Cripps
16740,Mr David Stoker
16747,Miss Gillian Adams
16748,Dr Christopher Wathen
16766,Dr Donald Macleod
16772,Dr Stephen J Hutchison
16782,Dr P H Winocour
16783,Dr Neil M Buchanan
16792,Dr John Clark
16798,Mr John Crowther
16805,Dr Howard McAlpine
16809,Mr David A A Archibald
16818,Professor Roger Edward Taylor
16824,Mr John Palmer
16835,Professor Malcolm Rustin
16864,Mr Christopher J Coates
16869,Mr Graham Smelt
16876,Dr Vincent Batty
16878,Dr David Wilson
16879,Mr Charles Aldam
16888,Dr N S Ashford
16924,Dr B D Sheinman
16925,Mr Roger Plail
16928,Professor Peter J Evans
16957,Professor Simon Emery
16962,Dr John Kingswood
16966,Professor Stephen R Underwood
16968,Professor Valerie Lund
16976,Dr Alan Makepeace
16990,Dr Hamish B Griffiths
16996,Professor Clive Handler
16997,Dr Ervine D Long
17004,Dr Selwyn L Dexter
17018,Dr Javed Akhtar
17024,Dr Kewal Kataria
17036,Mr Michael A Waldram
17053,Dr Jason Taylor
17056,Dr Michael Tidman
17064,Mr Madhup Chaurasia
17083,Dr David Hawkins
17094,Miss Swee Ang
17107,Mr Marc Patterson
17121,Mr Lee J Taylor
17153,Mr Solomon Abramovich
17161,Mr Magnus McLaren
17174,Dr Andrew Taylor
17188,Dr David Howes
17191,Mr Michael Shanahan
17208,Mr Jitendra M Parmar
17233,Dr Ian Fraser Duncan
17238,Dr Andrew Matthews
17240,Professor Robert Kirby
17241,Mr Nasser Nasser
17245,Mr William Allum
17247,Mr Andrew Riddle
17255,Mr Richard C Sainsbury
17259,Dr Vivien Challenor
17272,Mr Harbhajan Plaha
17277,Dr Roger Eastley
17295,Mr Ernest J Sinar
17309,Mr Alistair Stirling
17310,Mr Charles Pailthorpe
17322,Mr Barry Ferris
17324,Professor Muntzer Mughal
17348,Dr John Smith
17351,Dr John Glees
17355,Mr Stephen Brearley
17360,Dr Colin Johnston
17371,Mr Marek Korab-Karpinski
17373,Dr John Cundill
17375,Dr Ashok Bhalla
17387,Mr Ashley Dennison
17392,Dr Matthew Pitt
17398,Professor Stephen Chan
17409,Mr George Turner
17414,Mr Keith Poskitt
17417,Professor A M Heagerty
17426,Mr Paul Durdey
17434,Miss Linda K Ficker
17435,Mr Andrew Swift
17452,Mr Peter Bullock
17458,Professor David Bowen Jones
17462,Dr David Shuttleworth
17474,Dr Allan Irvine
17511,Dr Ramesh Bhatt
17513,Dr Michael Glynn
17544,Dr Kailash Mohanty
17579,Mr Richard Bates
17581,Dr Ravi K Sharma
17583,Professor Pierre Bouloux
17591,Mr Om Chawla
17614,Dr Victor N Pullicino
17630,Dr Richard Harries-Jones
17639,Dr Sudhir Rastogi
17645,Dr Iqbal Singh
17646,Dr Michael Creagh-Barry
17650,Dr Charles Hamilton
17662,Professor James Frame
17686,Dr Stephen Campbell
17687,Mr Jonathan Ramsay
17697,Dr Christopher Rowland Payne
17701,Dr Susan Mayou
17741,Dr John Skehan
17756,Mr Richard Gullan
17775,Dr Jean-Pierre Lilley
17790,Mr Peter Crane
17792,Mr Michael Rothera
17796,Mr Michael H Scott
17809,Miss Elfy Chevretton
17812,Mr Mukesh Gupta
17819,Dr David Mangion
17821,Dr Clive Archer
17828,Professor Bruce Kidd
17834,Dr Rattehalli Ramachandra
17872,Dr Yvette I Lolin
17886,Dr Ferdinand Carabott
17888,Miss Gillian Rose
17892,Dr Keith Bush
17896,Professor Adrian Heagerty
17900,Dr John Hook
17914,Dr Peter Luce
17918,Dr Terence Ludgrove
17944,Mr Paul Szypryt
17945,Professor Nigel Heaton
17952,Mr Adam Stacey-Clear
17954,Professor John Ramage
17960,Mr Christopher H Curwen
17961,Dr Josh Dixey
17964,Dr John Firth
17999,Mr Jack Lancer
18000,Professor Stephen Vernon
18009,Mr Ian Winson
18026,Dr Christopher Findlay
